model_bigg_id	bigg_id	name	organism
iAB_RBC_283	PdxK_AT1	PDXK	Homo sapiens
iAB_RBC_283	PdxP_AT1	PDXP	Homo sapiens
iAB_RBC_283	Pfkfb1_AT1	PFKFB1	Homo sapiens
iAB_RBC_283	Pfkfb2_AT1	PFKFB2	Homo sapiens
iAB_RBC_283	Pfkfb3_AT1	PFKFB3	Homo sapiens
iAB_RBC_283	Pfkfb4_AT1	PFKFB4	Homo sapiens
iAB_RBC_283	Pfkl_AT1	PFKL	Homo sapiens
iAB_RBC_283	Pfkl_AT2	PFKL	Homo sapiens
iAB_RBC_283	Pfkm_AT1	PFKM	Homo sapiens
iAB_RBC_283	Pgd_AT1	PGD	Homo sapiens
iAB_RBC_283	Pgk1_AT1	PGK1	Homo sapiens
iAB_RBC_283	Pgls_AT1	PGLS	Homo sapiens
iAB_RBC_283	Pgm1_AT1	PGM1	Homo sapiens
iAB_RBC_283	PGM2	PGM2	Homo sapiens
iAB_RBC_283	Phospho1_AT1	PHOSPHO1	Homo sapiens
iAB_RBC_283	Pip5k1a_AT1	PIP5K1A	Homo sapiens
iAB_RBC_283	Pip5k1b_AT1	PIP5K1B	Homo sapiens
iAB_RBC_283	Pip5k1c_AT1	PIP5K1C	Homo sapiens
iAB_RBC_283	Pklr_AT1	PKLR	Homo sapiens
iAB_RBC_283	Pklr_AT2	PKLR	Homo sapiens
iAB_RBC_283	Pla2g2a_AT1	PLA2G2A	Homo sapiens
iAB_RBC_283	Pla2g4a_AT1	PLA2G4A	Homo sapiens
iAB_RBC_283	Pla2g6_AT1	PLA2G6	Homo sapiens
iAB_RBC_283	Pla2g6_AT2	PLA2G6	Homo sapiens
iAB_RBC_283	Plcb3_AT1	PLCB3	Homo sapiens
iAB_RBC_283	Pmm2_AT1	PMM2	Homo sapiens
iAB_RBC_283	PnpO_AT1	PNPO	Homo sapiens
iAB_RBC_283	Ppa2_AT1	PPA2	Homo sapiens
iAB_RBC_283	Ppa2_AT2	PPA2	Homo sapiens
iAB_RBC_283	Ppa2_AT3	PPA2	Homo sapiens
iAB_RBC_283	Ppa2_AT4	PPA2	Homo sapiens
iAB_RBC_283	Ppap2a_AT1	PPAP2A	Homo sapiens
iAB_RBC_283	Ppap2a_AT2	PPAP2A	Homo sapiens
iAB_RBC_283	Ppap2b_AT1	PPAP2B	Homo sapiens
iAB_RBC_283	Ppap2c_AT1	PPAP2C	Homo sapiens
iAB_RBC_283	Prdx1_AT1	PRDX1	Homo sapiens
iAB_RBC_283	Prdx1_AT2	PRDX1	Homo sapiens
iAB_RBC_283	Prdx1_AT3	PRDX1	Homo sapiens
iAB_RBC_283	Prdx2_AT1	PRDX2	Homo sapiens
iAB_RBC_283	Prdx2_AT2	PRDX2	Homo sapiens
iAB_RBC_283	Prdx2_AT3	PRDX2	Homo sapiens
iAB_RBC_283	Prps1_AT1	PRPS1	Homo sapiens
iAB_RBC_283	Prps1l1_AT1	PRPS1L1	Homo sapiens
iAB_RBC_283	Prps1l1_AT2	PRPS1L1	Homo sapiens
iAB_RBC_283	Renbp_AT1	RENBP	Homo sapiens
iAB_RBC_283	Rfk_AT1	RFK	Homo sapiens
iAB_RBC_283	Rpe_AT1	RPE	Homo sapiens
iAB_RBC_283	Rpe_AT2	RPE	Homo sapiens
iAB_RBC_283	Rpia_AT1	RPIA	Homo sapiens
iAB_RBC_283	Slc16a1_AT1	SLC16A1	Homo sapiens
iAB_RBC_283	Slc22a2_AT1	SLC22A2	Homo sapiens
iAB_RBC_283	Slc22a2_AT2	SLC22A2	Homo sapiens
iAB_RBC_283	Slc22a3_AT1	SLC22A3	Homo sapiens
iAB_RBC_283	Slc38a1_AT1	SLC38A1	Homo sapiens
iAB_RBC_283	Slc38a2_AT1	SLC38A2	Homo sapiens
iAB_RBC_283	Slc38a4_AT1	SLC38A4	Homo sapiens
iAB_RBC_283	Slc43a1_AT1	SLC43A1	Homo sapiens
iAB_RBC_283	Slc43a2_AT1	SLC43A2	Homo sapiens
iAB_RBC_283	Slc5a7_AT1	SLC5A7	Homo sapiens
iAB_RBC_283	Slc6a14_AT1	SLC6A14	Homo sapiens
iAB_RBC_283	Slc6a9_AT1	SLC6A9	Homo sapiens
